row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20260224 QC.mzdata.xml Peak area,20260224 SM1.mzdata.xml Peak area,20260224 SM1F20.mzdata.xml Peak area,20260224 SM2 F20.mzdata.xml Peak area,20260224 SM2.mzdata.xml Peak area,20260224 SM3 F20.mzdata.xml Peak area,20260224 SM3.mzdata.xml Peak area,20260224 SP1.mzdata.xml Peak area,20260224 SP2.mzdata.xml Peak area,20260224 SP3.mzdata.xml Peak area,
1,232.0610615344619,0.18783332,,,,,,,,,,,191290.31,210293.0,175267.81,0,214099.97,159221.12,194108.36,0,0,0,
2,146.1640181500079,0.19260001,,,,,,,,,,,0,0,0,0,3732.925,0,3337.993,2648.5063,2993.2483,2915.59,
3,650.2056868951296,0.21720001,,,,,,,,,,,0,0,156108.08,174051.56,154675.33,146760.56,148662.47,0,0,0,
4,441.13345129128936,0.2186,,,,,,,,,,,0,384222.78,365372.12,416484.2,442138.03,0,446336.38,0,0,0,
5,542.2851760694451,0.22950001,,,,,,,,,,,6046.3594,9251.075,0,0,65932.15,158.50937,85724.35,0,0,142.12802,
6,438.1902221677816,0.25228572,,,,,,,,,,,16547.44,9558.378,11251.841,12185.442,7954.3706,13414.724,10703.126,0,0,0,
7,314.08472567138006,0.277,,,,,,,,,,,0,0,0,0,0,0,0,0,0,17475.93,
8,271.12879530044506,0.291,,,,0,,,,,,,9087.172,10478.951,11552.279,8783.181,3448.448,12572.747,7729.472,13585.928,14214.164,21730.05,
9,294.1540046657075,0.313,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,95058.125,
10,254.16025568256126,0.349,,,,,,,,,,,0,0,0,0,0,0,0,0,0,48342.527,
11,199.1070342797441,0.35333335,,,,,,,,,,,6954.634,0,0,23483.734,0,29061.695,0,0,0,0,
12,463.2305590190626,0.36066666,,,,,,,,,,,13959.904,0,0,0,0,0,0,577.7493,300.1879,0,
13,498.24733432840856,0.3757143,,,,,,,,,,,3490.3936,275.03198,3195.0713,16062.625,23402.791,9414.034,10775.197,0,0,0,
14,524.27317685231,0.38071427,,,,,,,,,,,14358.933,36798.23,567.2753,187.34811,61755.668,158.63081,51851.797,0,0,0,
15,315.2007980902844,0.3856667,,,,,,,,,,,7197.376,26700.758,195.66083,0,29879.572,172.06516,29567.693,0,0,0,
16,289.175169508349,0.38585714,,,,,,,,,,,4094.3005,530.525,3321.9524,16963.691,27170.607,10082.233,20834.158,0,0,0,
17,157.13235119740241,0.39166665,,,,1,,,,,,,8127.9355,759.58215,0,3840.689,68557.08,3595.429,68613.25,0,0,0,
18,174.11147837255066,0.3961428,,,,1,,,,,,,7408.7603,2593.7307,5369.5215,15712.675,40266.152,12125.921,33579.03,0,0,0,
19,111.04188117025899,0.39880002,,,,,,,,,,,571.74646,477.49207,351.6377,517.4071,1956.4056,361.73367,1482.3811,15502.398,7320.9404,18655.275,
20,160.0758372048242,0.42200002,,,,,,,,,,,737.27374,147.06451,0,0,0,0,0,4564.1533,2452.4097,6426.1367,
21,202.1434465703002,0.45271423,,,,,,,,,,,15781.305,4021.1543,10554.096,23079.686,55272.676,18720.467,54511.258,0,0,0,
22,331.1650080115807,0.47966668,,,,,,,,,,,0,0,4636.6426,5810.4097,4489.2188,0,0,0,0,0,
23,132.05147016597454,0.49449998,,,,,,,,,,,0,0,927.84735,0,0,936.6565,0,0,0,0,
24,272.15933771100117,0.525,,,,,,,,,,,0,0,0,0,0,0,0,7541.7266,5113.394,19226.68,
25,144.10097743615128,0.52985716,,,,,,,,,,,11538.421,15696.273,20987.23,22803.652,40708.637,13756.697,27069.01,0,0,0,
26,327.1577550158558,0.593,,,,,,,,,,,0,0,0,0,44287.0,0,0,0,0,0,
27,506.2625345399624,0.60125,,,,2,0,[M-H2O+?]+,,2,27;28,524.274,2234.3784,8377.346,0,0,18039.824,0,16875.97,0,0,0,
28,524.2738003048546,0.60125,,,,2,0,[M+?]+,,2,27;28,524.274,5630.2085,17597.744,0,0,39160.984,0,32968.58,0,0,0,
29,174.11155976207175,0.6172857,,,,,,,,,,,2758.003,2497.625,3552.1719,11948.841,17956.139,8578.241,36977.688,0,0,0,
30,195.12174644753742,0.61840004,,,,,,,,,,,23271.256,22720.969,43231.85,45890.76,28612.395,33254.22,28530.355,17337.217,10271.566,25884.27,
31,217.10379337741142,0.61840004,,,,,,,,,,,26970.172,33179.887,47940.332,44586.562,33929.832,36435.902,35609.24,16534.412,8654.015,15671.512,
32,202.1437374828711,0.62242854,,,,,,,,,,,7339.0625,7429.554,16766.562,22121.361,39464.785,15666.172,29486.406,0,0,0,
33,118.08504785486042,0.665,,,,,,,,,,,0,0,0,0,305544.38,0,254342.55,0,0,0,
34,181.13236188098446,0.7036667,,,,,,,,,,,858.1809,861.26074,0,1112.9498,20275.703,953.68207,14414.606,0,0,0,
35,144.1010711850808,0.70471424,,,,,,,,,,,4483.678,7551.3604,16381.256,11586.25,10081.018,8328.926,7731.133,0,0,0,
36,359.19219847021566,0.744,,,,,,,,,,,0,0,0,0,0,0,0,0,0,6274.418,
37,277.12543800250853,0.76649994,,,,,,,,,,,1237.5349,114.89168,414.04056,337.86047,161.99591,96.410484,213.89539,4905.4727,2420.3223,4681.4946,
38,232.1507036391488,0.7714286,,,,,,,,,,,350.4975,144.7923,246.88313,4568.1113,1172.7405,3297.924,1390.7335,0,0,0,
39,357.21187339883255,0.7786667,,,,,,,,,,,0,0,0,0,0,0,0,4904.444,2331.776,16860.47,
40,229.1532159192079,0.78,,,,,,,,,,,0,0,0,0,0,0,0,0,0,28295.574,
41,453.2367289525526,0.7818571,,,,,,,,,,,811.45465,2724.1921,2655.3875,2630.5002,5233.561,1816.5034,4906.946,0,0,0,
42,506.2624566782178,0.81700003,,,,,,,,,,,622.71625,3728.1829,0,0,8995.977,0,8662.323,0,0,0,
43,408.17736401346343,0.8265,,,,,,,,,,,124.969925,0,0,0,0,0,0,752.3338,367.46777,2725.788,
44,202.1451172315959,0.8331428,,,,,,,,,,,1022.04205,3029.8618,5926.411,8868.684,8706.937,5129.8174,11987.659,0,0,0,
45,139.12129777848392,0.8595,,,,,,,,,,,523.7936,2206.4177,0,447.50238,12861.682,154.21042,5335.171,0,0,0,
46,522.2578883718743,0.86914283,,,,3,,,,,,,3249.5598,12974.314,3965.2834,1205.4728,22028.459,1625.8081,20442.047,0,0,0,
47,157.0971141653725,0.8742857,,,,3,,,,,,,4596.438,31373.791,5915.812,2501.1765,17767.469,1739.0796,18772.262,0,0,0,
48,647.3475651912222,0.8742857,,,,,,,,,,,1964.5006,19357.992,3055.8452,165.8945,6475.6147,167.92004,7476.8535,0,0,0,
49,313.1863526237723,0.87833333,,,,3,,,,,,,18323.887,117608.54,20049.238,8332.622,117331.73,5904.933,119702.516,702.1913,0,827.8511,
50,287.1949709049142,0.8886667,,,,,,,,,,,804.9494,0,319.03668,6263.479,1191.4576,3407.9043,582.21094,0,0,0,
51,340.18612830082793,0.90000004,,,,,,,,,,,957.62585,1190.4622,2093.9995,3742.03,8209.748,2520.028,8413.352,0,0,0,
52,174.11149202222532,0.91866666,,,,,,,,,,,5227.975,0,3047.767,23577.953,51608.105,10937.264,15091.337,0,0,0,
53,102.09027126038814,0.924,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3758.9707,
54,245.09920219129847,0.953,,,,7,,,,,,,0,0,0,0,15915.193,0,15907.222,0,0,0,
55,483.1389754814014,0.95657146,,,,,,,,,,,3659.4136,5929.7344,12998.296,6462.7476,11211.762,6111.0024,10577.314,0,0,0,
56,158.1170046044677,0.96599996,,,,7,1,[M+?]+,,2,56;57,158.11726,721980.06,848281.56,1123445.6,868969.9,1425009.8,771994.0,1241871.0,0,0,4311.3433,
57,140.1058523771347,0.96685714,,,,7,1,[M-H2O+?]+,,2,56;57,158.11726,11065.933,13513.044,17412.254,13312.475,32788.438,11027.908,32352.756,0,0,0,
58,229.15334428614645,0.996,,,,,,,,,,,0,0,0,0,0,0,0,0,0,31404.416,
59,331.1966870857045,0.99700004,,,,7,,,,,,,871.6378,2535.3042,0,0,14477.728,0,12659.239,0,0,0,
60,430.2265821577325,1.032,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3261.6377,
61,190.08645978596456,1.0388571,,,,,,,,,,,777.3216,1535.3585,3410.3977,3094.7378,3290.3462,1329.1995,1551.5648,0,0,0,
62,506.26190957660964,1.078,,,,4,,,,,,,426.1936,2867.773,0,0,12286.879,0,15069.533,0,0,0,
63,593.3739687999035,1.09,,,,4,,,,,,,0,1696.5258,0,0,5634.6597,0,5115.0625,0,0,0,
64,362.7072362133839,1.104,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4047.5789,
65,287.1951787961687,1.1044999,,,,,,,,,,,413.4265,0,162.32245,3445.9983,913.6012,1977.5474,356.79553,0,0,0,
66,241.11809143155884,1.1055715,,,,,,,,,,,706.90326,443.1953,1336.8881,2333.736,9854.348,1978.8708,8689.61,0,0,0,
67,156.10140856855406,1.1261429,,,,8,2,[M-H2O+?]+,,2,67;68,174.11223,2829.4517,1580.1492,2667.2268,7587.6694,11053.385,5141.4233,8602.621,0,0,0,
68,174.11139283928605,1.1261429,,,,8,2,[M+?]+,,2,67;68,174.11223,9236.16,4137.8047,7273.1865,27812.893,51521.4,17624.117,41338.066,0,0,0,
69,112.0746443037934,1.1312858,,,,8,,,,,,,6593.2397,1910.1445,3134.0742,14348.501,23938.977,9613.281,17984.248,0,0,0,
70,342.20044676370094,1.154875,,,,8,,,,,,,1181.862,261.34265,1415.8115,7311.592,23570.541,3453.582,19154.168,0,0,253.3902,
71,446.7345976164875,1.176,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3220.1746,
72,718.8226460960304,1.1800001,,,,,,,,,,,0,0,0,0,0,0,0,696.24066,0,2926.6697,
73,236.12722238064683,1.1981429,,,,6,,,,,,,26566.906,33321.285,65780.72,56497.56,204318.75,37350.973,171141.11,0,0,0,
74,239.14792147928551,1.2008001,,,,5,3,[M+H]+,,2,76;74,238.14071,34367.31,41067.215,64399.316,80141.06,54035.438,53470.355,42993.664,28669.385,16713.102,52500.41,
75,256.17435057065376,1.2008001,,,,,,,,,,,8423.039,10045.781,14481.612,17610.441,11686.449,11394.914,9441.988,6906.0654,3668.2021,10806.166,
76,261.12999320191636,1.2008001,,,,5,3,[M+Na]+,,2,76;74,238.14071,38706.934,43153.383,68232.59,73953.805,48973.684,55605.016,47353.57,32757.639,18067.945,34416.098,
77,257.1780162139206,1.2044001,,,,,,,,,,,1015.73395,1389.9071,1429.3851,1967.9487,1392.2577,1435.0281,1570.5605,722.1614,244.17235,1134.4333,
78,275.10949618180996,1.2152001,,,,6,,,,,,,5665.5586,6598.104,9836.896,4085.2458,20745.627,10169.836,16332.766,2892.3628,1436.7596,3002.7314,
79,340.18581459484136,1.235,,,,,,,,,,,1545.3083,1919.5929,3507.7568,5929.9385,15175.098,4052.5237,17737.984,0,23.286518,134.16771,
80,488.2345823676919,1.2553333,,,,,,,,,,,0,0,0,0,3057.299,0,2241.3408,0,0,4987.6465,
81,257.18186063658794,1.263875,,,,,,,,,,,579.6566,262.6762,456.55017,2613.728,4317.3184,1826.0076,3595.9062,440.88882,0,0,
82,142.0850749747773,1.2958572,,,,,,,,,,,214.2798,2159.078,419.17618,271.63995,613.5618,233.2667,574.7404,0,0,0,
83,197.12776879515363,1.301,,,,,,,,,,,1823.5098,172.9975,520.3416,10508.386,1503.1575,9488.709,1153.5472,0,0,0,
84,506.26227070783733,1.321,,,,,,,,,,,839.05054,6007.3276,0,0,15134.508,0,17329.936,0,0,0,
85,286.174724516873,1.3599999,,,,,,,,,,,0,0,0,0,0,0,0,1851.0853,0,6532.355,
86,144.1054865334226,1.3859999,,,,12,,,,,,,22437.477,95406.95,228.51822,0,146262.61,0,183734.19,0,0,0,
87,279.18074035283166,1.402,,,,12,4,[M-H2O+?]+,,2,88;87,297.1918,58904.164,253632.17,0,0,504193.1,0,598631.94,0,0,0,
88,297.1911924731109,1.402,,,,12,8,[M-H2O+H]+,,2,92;88,314.19466,54571.074,257473.8,0,0,547610.0,0,600872.25,0,0,0,
89,593.3751643777541,1.402,,,,,,,,,,,476.65594,6292.5884,0,0,14193.25,0,15535.938,0,0,0,
90,611.3863554283117,1.402,,,,12,7,[M-H2O+H]+,,2,92;90,628.38978,5402.839,43548.13,0,0,150908.88,0,170615.48,0,0,0,
91,629.3972933494524,1.402,,,,12,7,[M+H]+,,2,92;91,628.38978,19051.914,137182.25,0,0,593053.06,0,518510.75,0,0,0,
92,651.3788977283068,1.411,,,,12,7,[M+Na]+,,3,92;91;90,628.38978,9762.948,44038.516,0,0,80956.16,0,94826.46,0,0,0,
93,965.5748498728549,1.4289999,,,,12,,,,,,,15493.333,66302.89,0,0,136697.6,0,133635.84,0,0,0,
94,137.10615043935584,1.4345713,,,,,,,,,,,11545.413,24306.281,6659.203,11726.617,79219.27,8205.1045,70693.555,0,0,0,
95,245.09921597240162,1.4441427,,,,9,9,[M+Na]+,,2,95;96,222.10978,1092.562,0,109.99229,187.62914,0,133.57236,0,4571.0083,1660.9973,2185.8647,
96,223.11684143277049,1.4465,,,,9,9,[M+H]+,,2,95;96,222.10978,611.5762,0,0,160.44344,0,95.26949,0,2324.1252,930.7138,2196.6033,
97,376.1846717603888,1.464,,,,,,,,,,,0,0,0,0,0,0,0,0,0,10494.68,
98,321.15138268444986,1.4953,,,,10,10,[M+Na]+,,2,99;98,298.16161,1514.3578,93.99051,942.7092,349.0369,1132.1575,199.87392,814.48724,7709.061,3231.3762,15555.124,
99,316.1948739100924,1.505,,,,10,10,[M+NH4]+,,2,99;98,298.16161,906.9531,0,523.8652,306.38504,0,0,0,4983.8433,2045.5767,8703.939,
100,229.1169953214533,1.536,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4083.1907,
101,204.12207841788398,1.5676249,,,,11,,,,,,,827.98535,1578.409,1543.242,3047.8015,5301.7085,1885.6616,4275.27,0,0,142.12973,
102,279.1803356903266,1.5705001,,,,,,,,,,,49665.418,201939.55,1557.9683,2105.4072,107977.83,1255.9481,0,79.459045,0,279.79996,
103,762.3418388011258,1.572,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2504.0366,
104,257.1835773585464,1.6019999,,,,11,,,,,,,62.460503,0,461.1681,2647.815,2061.2131,1415.677,1537.916,0,0,0,
105,128.10565604287203,1.6283332,,,,,,,,,,,0,0,0,8735.661,12862.211,0,12258.793,0,0,0,
106,261.12308790457934,1.644,,,,,,,,,,,0,0,0,0,0,0,0,0,0,18066.428,
107,350.1703542409952,1.6595,,,,,,,,,,,0,0,0,2097.6055,0,1320.3378,0,0,0,0,
108,205.09679727732475,1.68,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1531.6904,
109,123.09047142791215,1.6955713,,,,,,,,,,,6849.8433,30862.11,7685.638,6740.716,55760.72,3886.6785,35469.92,0,0,0,
110,202.14330922972832,1.7158332,,,,,,,,,,,1634.0079,217.02042,0,1797.6294,26357.686,1365.953,24169.422,0,0,0,
111,209.13664704327772,1.7225554,,,,,,,,,,,809.8813,918.3136,1410.8301,1251.7487,2471.4197,463.0383,2226.437,734.6282,0,1180.7129,
112,172.13028545327603,1.7318001,,,,,,,,,,,401.57056,750.1781,0,116.08728,4686.9155,0,4441.6147,0,0,0,
113,531.2741910467279,1.743,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2493.5737,
114,266.1387000021356,1.7574002,,,,,,,,,,,592.8634,0,0,7973.035,513.3042,4259.8716,376.76755,0,0,0,
115,302.2059419657491,1.759,,,,,,,,,,,351.62042,354.73068,676.2825,1460.2902,0,502.89423,0,928.10895,31.999044,2945.406,
116,255.13278365458325,1.7628332,,,,,,,,,,,309.76743,0,200.20915,828.4444,12572.7,545.6035,11252.644,0,0,0,
117,589.79220072162,1.779,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2287.5312,
118,254.10239115302434,1.7827142,,,,,,,,,,,523.5031,1338.9384,1980.6072,2355.5745,3231.5034,1085.7727,1973.059,0,0,0,
119,340.1945539523597,1.8502222,,,,,,,,,,,414.39563,488.9406,1092.9325,1680.6736,1479.5841,953.66766,1473.1327,370.8675,0,562.3979,
120,430.2274741922153,1.851,,,,,,,,,,,0,0,0,0,0,0,0,0,0,5244.471,
121,130.15772448016372,1.852,,,,,,,,,,,0,0,0,0,32437.44,0,0,0,0,28071.732,
122,155.03338436559088,1.8709002,,,,,,,,,,,356.90857,291.57013,198.71083,130.85693,293.77722,124.76485,647.23285,1246.926,439.9865,3339.4958,
123,204.12147142431658,1.8751428,,,,,,,,,,,316.20947,590.6295,639.33734,1126.012,2704.0598,770.9802,2132.0676,0,0,0,
124,216.1221147688008,1.8792002,,,,,,,,,,,2016.9296,0,0,6285.358,10197.47,4232.734,6615.886,0,0,0,
125,302.20651513432404,1.8872501,,,,,,,,,,,0,0,0,0,0,314.95004,0,623.955,31.999044,2406.2607,
126,383.2271160098521,1.9269999,,,,,,,,,,,129.17493,395.20853,353.28732,254.32515,4128.192,0,3188.1553,0,0,0,
127,286.17389186623086,1.9289999,,,,,,,,,,,0,0,0,0,0,0,0,368.5081,0,2894.9075,
128,345.1512632867622,1.9567001,,,,,,,,,,,1382.4456,357.55377,2046.9237,5505.6914,5442.6523,3384.2393,5232.534,521.81696,145.97026,2091.1128,
129,387.17560492607663,1.959,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4917.327,
130,282.15422459518317,2.051,,,,,,,,,,,66.39815,0,0,0,0,0,0,598.67126,457.69843,1579.0913,
131,287.109759628571,2.0535002,,,,,,,,,,,496.3449,0,0,0,0,0,0,1676.5483,1024.0299,1804.031,
